ccode2,year,session.x,ccode1,agree,IdealPointAll.x,NVotesAll.x,IdealPointAll.y,NVotesAll.y,IdealPointDistance,country,un_continent,un_region,regime
100,2000,55,710,0.881578947368421,-0.7520626,67,-0.2593566,67,0.492706,Colombia,Americas,South America,Democracy
100,2001,56,710,0.902439024390244,-0.5598295,68,-0.2901023,69,0.2697272,Colombia,Americas,South America,Democracy
100,2002,57,710,0.792929292929293,-0.5309098,72,-0.2349219,73,0.2959879,Colombia,Americas,South America,Democracy
100,2003,58,710,0.898876404494382,-0.9501601,75,-0.3119169,74,0.6382432,Colombia,Americas,South America,Democracy
100,2004,59,710,0.923529411764706,-0.831006,71,-0.440402,72,0.390604,Colombia,Americas,South America,Democracy
100,2005,60,710,0.930851063829787,-0.7416621,74,-0.4966717,74,0.2449904,Colombia,Americas,South America,Democracy
100,2006,61,710,0.884259259259259,-0.8871786,90,-0.2870741,90,0.6001045,Colombia,Americas,South America,Democracy
100,2007,62,710,0.891304347826087,-0.6300299,78,-0.196159,79,0.4338709,Colombia,Americas,South America,Democracy
100,2008,63,710,0.833333333333333,-0.6653521,74,-0.1901344,75,0.4752177,Colombia,Americas,South America,Democracy
100,2009,64,710,0.898809523809524,-0.6438248,68,-0.1420808,67,0.501744,Colombia,Americas,South America,Democracy
100,2010,65,710,0.879310344827586,-0.8758027,67,-0.1321166,68,0.7436861,Colombia,Americas,South America,Democracy
100,2011,66,710,0.852631578947368,-0.744689,68,-0.0822888,68,0.6624002,Colombia,Americas,South America,Democracy
100,2012,67,710,0.825581395348837,-0.8695528,67,-0.03663801,69,0.83291479,Colombia,Americas,South America,Democracy
101,2000,55,710,0.901315789473684,-0.7520626,67,-0.5043221,67,0.2477405,Venezuela,Americas,South America,Democracy
101,2001,56,710,0.908536585365854,-0.5598295,68,-0.5407796,68,0.0190499,Venezuela,Americas,South America,Democracy
101,2002,57,710,0.83,-0.5309098,72,-0.4821621,73,0.0487477,Venezuela,Americas,South America,Multiparty
101,2003,58,710,0.923076923076923,-0.9501601,75,-0.5463388,76,0.4038213,Venezuela,Americas,South America,Multiparty
101,2004,59,710,0.958333333333333,-0.831006,71,-1.010036,71,0.17903,Venezuela,Americas,South America,Multiparty
101,2005,60,710,0.936842105263158,-0.7416621,74,-1.154602,75,0.4129399,Venezuela,Americas,South America,Multiparty
101,2006,61,710,0.958333333333333,-0.8871786,90,-1.253856,92,0.3666774,Venezuela,Americas,South America,Multiparty
101,2007,62,710,0.951086956521739,-0.6300299,78,-1.207961,79,0.5779311,Venezuela,Americas,South America,Multiparty
101,2008,63,710,0.940217391304348,-0.6653521,74,-1.345936,74,0.6805839,Venezuela,Americas,South America,Multiparty
101,2009,64,710,0.952380952380952,-0.6438248,68,-1.41224,68,0.7684152,Venezuela,Americas,South America,Multiparty
101,2010,65,710,0.901162790697674,-0.8758027,67,-1.288199,67,0.4123963,Venezuela,Americas,South America,Multiparty
101,2011,66,710,0.873684210526316,-0.744689,68,-1.845331,68,1.100642,Venezuela,Americas,South America,Multiparty
101,2012,67,710,0.882352941176471,-0.8695528,67,-1.465571,69,0.5960182,Venezuela,Americas,South America,Multiparty
110,2000,55,710,0.906666666666667,-0.7520626,67,-0.4686685,67,0.2833941,Guyana,Americas,South America,Democracy
110,2001,56,710,0.921052631578947,-0.5598295,68,-0.4577329,64,0.1020966,Guyana,Americas,South America,Democracy
110,2002,57,710,0.851485148514851,-0.5309098,72,-0.4675596,74,0.0633502,Guyana,Americas,South America,Democracy
110,2003,58,710,0.927777777777778,-0.9501601,75,-0.6178217,75,0.3323384,Guyana,Americas,South America,Democracy
110,2004,59,710,0.928571428571429,-0.831006,71,-0.6722288,72,0.1587772,Guyana,Americas,South America,Democracy
110,2005,60,710,0.922680412371134,-0.7416621,74,-0.5963943,73,0.1452678,Guyana,Americas,South America,Democracy
110,2006,61,710,0.926605504587156,-0.8871786,90,-0.4790371,92,0.4081415,Guyana,Americas,South America,Democracy
110,2007,62,710,0.934782608695652,-0.6300299,78,-0.4693544,79,0.1606755,Guyana,Americas,South America,Democracy
110,2008,63,710,0.923529411764706,-0.6653521,74,-0.5508809,70,0.1144712,Guyana,Americas,South America,Democracy
110,2009,64,710,0.939024390243902,-0.6438248,68,-0.5390743,66,0.1047505,Guyana,Americas,South America,Democracy
110,2010,65,710,0.941176470588235,-0.8758027,67,-0.7953671,66,0.0804356000000001,Guyana,Americas,South America,Democracy
110,2011,66,710,0.916666666666667,-0.744689,68,-0.6307362,64,0.1139528,Guyana,Americas,South America,Democracy
110,2012,67,710,0.898809523809524,-0.8695528,67,-0.6926122,69,0.1769406,Guyana,Americas,South America,Democracy
115,2000,55,710,0.829545454545455,-0.7520626,67,-0.4396621,36,0.3124005,Suriname,Americas,South America,Democracy
115,2001,56,710,0.883333333333333,-0.5598295,68,-0.2898866,26,0.2699429,Suriname,Americas,South America,Democracy
115,2002,57,710,0.971153846153846,-0.5309098,72,-0.6849168,45,0.154007,Suriname,Americas,South America,Democracy
